iter	RMSE
358	1.500055605
359	1.498384525
360	1.49615388
361	1.494962432
362	1.493283595
363	1.491773184
364	1.490588858
365	1.490549501
366	1.490056717
367	1.489216348
368	1.487244067
369	1.486093988
370	1.485084139
371	1.484197436
372	1.483525001
373	1.48273348
374	1.481460761
375	1.480723125
376	1.480198325
377	1.479167826
378	1.477413195
379	1.475792985
380	1.474602226
381	1.472911032
382	1.471695062
383	1.469763892
384	1.469040693
385	1.467353626
386	1.465282
387	1.463877345
388	1.463195848
389	1.462034778
390	1.458990411
391	1.457652921
392	1.455468332
393	1.455013253
394	1.45277328
395	1.451678435
396	1.451218805
397	1.450463687
398	1.44856193
399	1.447644537
400	1.445307133
401	1.443205017
402	1.4428584
403	1.44091942
404	1.44075889
405	1.439583044
406	1.438071194
407	1.436252718
408	1.433641014
409	1.433023784
410	1.43205296
411	1.430585227
412	1.43045857
413	1.429212723
414	1.42602322
415	1.425582185
416	1.42501824
417	1.423346556
418	1.423117973
419	1.421813649
420	1.421294124
421	1.420275861
422	1.419521787
423	1.418774183
424	1.417806272
425	1.415684153
426	1.41568146
427	1.415093525
428	1.41240258
429	1.411580883
430	1.410634046
431	1.409796482
432	1.408024267
433	1.407772327
434	1.406022189
435	1.405172839
436	1.404592502
437	1.404317393
438	1.403636584
439	1.40298035
440	1.402223554
441	1.401451554
442	1.399772005
443	1.397911687
444	1.397618112
445	1.397475454
446	1.395791851
447	1.395712437
448	1.395360249
449	1.39500057
450	1.39446947
451	1.394014564
452	1.393294409
453	1.392991079
454	1.391835852
455	1.390915168
456	1.389421127
457	1.387492088
458	1.387121993
459	1.386482396
460	1.385133723
461	1.384382092
462	1.383716713
463	1.381906675
464	1.38116061
465	1.379885691
466	1.3789714
467	1.377361577
468	1.376376465
469	1.374377949
470	1.373759312
471	1.372753523
472	1.371437453
473	1.370263748
474	1.36969869
475	1.368769399
476	1.366987974
477	1.364747751
478	1.363153913
479	1.362633976
480	1.362097027
481	1.362057135
482	1.361254599
483	1.361181159
484	1.359925184
485	1.359530103
486	1.358706089
487	1.357659335
488	1.35669023
489	1.356242959
490	1.355024707
491	1.354134659
492	1.352615091
493	1.352001758
494	1.351271478
495	1.35027451
496	1.349392094
497	1.348671942
498	1.348290463
499	1.348105502
